,name,name_len,track_number,duration,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,tempo,explicit,complexity,popularity_abs,popularity_norm,age_days
30,Black Widow,11,5,0.7228299076395978,f,major,4,0.0195,0.621,0.979,0.0,0.9460066162570887,0.219,0.325,0.47737429953468397,False,0.8234295415959253,43,0.5365853658536586,2387
31,Sexual Hallucination (feat. Brent Smith),20,6,0.9372681899354366,c_or_b_sharp,major,4,0.0236,0.428,0.928,0.0,0.9018588531821046,0.11,0.196,0.6008325092564909,False,0.865874363327674,40,0.4634146341463415,2387
32,Sick Like Me,12,7,0.726474224471601,a,minor,4,0.000165,0.448,0.982,2.32e-06,0.8969360428481411,0.287,0.0978,0.4923150043311946,False,0.7419354838709677,55,0.8292682926829268,2387
33,Bloody Creature Poster Girl,27,8,0.6196496823006871,d,major,4,0.00844,0.551,0.915,0.0,0.95502520478891,0.0846,0.416,0.0023380784827786534,False,0.5984719864176571,46,0.6097560975609756,2387
34,The Fighter,11,9,0.7067765977218307,a,minor,4,0.107,0.435,0.743,5.76e-06,0.8247479521109011,0.0792,0.28,0.5688353302823326,False,0.6842105263157895,51,0.7317073170731707,2387
35,Bones,5,10,0.6468352623342483,d,minor,4,0.000824,0.481,0.964,0.0,0.8913043478260869,0.384,0.0808,0.5855315103986999,False,0.6120543293718166,40,0.4634146341463415,2387
36,Natural Born Sinner,19,11,0.7516666083073186,f,major,4,0.0106,0.554,0.886,0.0,0.8749606175173282,0.114,0.326,0.171384985703225,False,0.831918505942275,42,0.5121951219512195,2387
37,Into the Darkness,17,12,0.38334011199607826,b,minor,5,0.396,0.415,0.554,9.890000000000002e-05,0.11405166981726518,0.505,0.0298,0.5037830876434467,False,0.3030560271646859,31,0.24390243902439024,2387
38,Out of Hell,11,13,0.9820154445770249,a,minor,4,0.712,0.34,0.125,0.000168,0.4290721487082545,0.0417,0.179,0.4055991230289231,False,0.8047538200339559,34,0.3170731707317073,2387
39,Rise With Me,12,1,0.2626709367752779,b,minor,4,0.347,0.401,0.622,0.787,0.651937618147448,0.143,0.0936,0.47824053844797576,False,0.29711375212224106,24,0.07317073170731707,3209
40,Blood,5,2,0.4780438664774028,a,minor,4,0.012,0.534,0.95,1.91e-06,0.946518588531821,0.161,0.527,0.5549908393318461,False,0.5526315789473685,32,0.2682926829268293,3209
41,Adrenalize,10,3,0.6078332610575252,f_sharp,major,4,0.00023,0.465,0.96,0.0,0.9002047889098928,0.0792,0.43,0.4932272382310328,False,0.5492359932088285,31,0.24390243902439024,3209
42,Whore,5,4,0.5802517352927709,b,minor,4,0.0254,0.604,0.883,0.0,0.9028434152488972,0.047,0.544,0.17116267660158377,True,0.5882852292020373,33,0.2926829268292683,3209
43,You're Gonna Listen,19,5,0.5198471164646087,a,minor,4,0.000444,0.383,0.989,0.00138,0.9508506616257089,0.158,0.121,0.601223466642136,False,0.4617996604414261,27,0.14634146341463414,3209
44,It Is Written,13,6,0.0,c_sharp_or_d_flat,major,4,0.0251,0.241,0.764,0.556,0.42422810333963445,0.906,0.173,0.6002422402624779,False,0.0,21,0.0,3209
45,Burn,4,7,0.6847598602607855,e,major,4,0.00266,0.352,0.8200000000000001,0.00406,0.8447148708254568,0.0584,0.0388,0.6012694616286824,False,0.5067911714770797,27,0.14634146341463414,3209
46,Scarlet,7,8,0.5385939347578401,f_sharp,major,4,0.252,0.557,0.8250000000000001,0.0,0.8819313169502205,0.0454,0.302,0.3086953522066094,False,0.4966044142614601,27,0.14634146341463414,3209
47,Aries,5,9,0.030417790084118268,c_sharp_or_d_flat,minor,3,0.491,0.259,0.958,0.5,0.3146266540642721,0.548,0.0275,0.10483024017048805,False,0.007640067911714771,21,0.0,3209
48,From the Ashes,14,10,0.6364571745635843,c_or_b_sharp,major,4,5.35e-05,0.474,0.975,1.84e-05,0.9285995589161942,0.16,0.335,0.47841685256307054,False,0.7232597623089984,24,0.07317073170731707,3209
49,Beast Within,12,11,0.5380552330827473,e,minor,4,0.000776,0.518,0.937,0.0,0.8957151858853182,0.114,0.391,0.17123166908140347,False,0.5797962648556876,27,0.14634146341463414,3209
50,Comanche,8,12,0.4518252559506334,c_or_b_sharp,major,4,0.000525,0.5630000000000001,0.963,0.000222,0.9180844360428481,0.148,0.386,0.5850562288710529,False,0.5212224108658744,28,0.17073170731707318,3209
51,The Blood Legion,16,13,0.6443572346288211,a,minor,4,0.0911,0.44,0.718,5.360000000000001e-05,0.7729599873976055,0.057,0.112,0.6314958336208019,False,0.6612903225806451,26,0.12195121951219512,3209
52,11:11,5,14,0.7036521280062921,c_or_b_sharp,minor,3,0.873,0.238,0.455,0.000685,0.7055765595463137,0.0366,0.128,0.12538233332566745,False,0.6494057724957555,23,0.04878048780487805,3209
53,Closer,6,15,0.7011363911836084,e,minor,4,0.0007289999999999,0.553,0.798,0.00125,0.8486531190926276,0.0482,0.305,0.17115501077049267,False,0.7937181663837012,42,0.5121951219512195,3209
54,The Rabbit Hole,15,1,0.08184494549685803,b_flat,major,4,0.86,0.261,0.425,0.0551,0.5965264650283554,0.0393,0.0823,0.13351578011330098,False,0.0500848896434635,24,0.07317073170731707,3237
55,Forever,7,2,0.6238865709752924,g_sharp,minor,4,0.00124,0.314,0.989,2.64e-06,0.9899968494013862,0.186,0.258,0.8766797752378322,False,0.5831918505942275,41,0.4878048780487805,3237
56,All for You,11,3,0.7142807120558742,e,minor,4,0.00143,0.311,0.979,9.47e-06,0.959317895400126,0.173,0.221,0.9149629357066745,False,0.732597623089983,38,0.4146341463414634,3237
57,Lost At Sea,11,4,0.5287168395450126,f_sharp,major,4,0.0101,0.387,0.992,0.000421,0.9850740390674227,0.348,0.127,0.7535588620840327,False,0.5195246179966044,40,0.4634146341463415,3237
58,Mechanical Love,15,5,0.5051567217848264,f_sharp,major,4,0.00588,0.329,0.989,0.0,0.9922416509136737,0.224,0.38,0.7841761914617972,False,0.5059422750424448,29,0.1951219512195122,3237
59,Her Kiss,8,6,0.6464043009941739,c_or_b_sharp,major,4,0.000534,0.207,0.994,7.92e-06,0.9863342785129174,0.229,0.0927,0.4780565585017899,False,0.5789473684210527,28,0.17073170731707318,3237
60,Into the Light,14,7,0.5985325766370471,c_or_b_sharp,major,4,0.8160000000000001,0.465,0.302,0.0,0.7561830497794582,0.0285,0.136,0.30851137226042363,False,0.5110356536502547,41,0.4878048780487805,3237
61,You Always Believed,19,8,0.5130944909673196,c_sharp_or_d_flat,major,4,0.000358,0.37,0.99,2.82e-06,0.9799543163201008,0.101,0.529,0.79756839837791,False,0.533955857385399,38,0.4146341463414634,3237
62,The Great Divide,16,9,0.5961973048755195,g,major,4,0.00306,0.373,0.979,0.000865,0.9130040957781979,0.251,0.166,0.9843847020674746,False,0.7292020373514432,36,0.36585365853658536,3237
63,Violet Skies,12,10,0.5560478690308488,c_sharp_or_d_flat,major,4,0.0003529999999999,0.347,0.988,1.62e-05,1.0,0.227,0.489,0.863042261726805,False,0.5806451612903226,31,0.24390243902439024,3237
64,The Dream,9,11,0.6808461925912359,d,major,4,0.218,0.333,0.538,2.3e-05,0.7736294896030246,0.03,0.201,0.677268511065627,False,0.6078098471986417,26,0.12195121951219512,3237
