,name,id,track_number,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,tempo,explicit,complexity,popularity
30,Black Widow,5gc7XfphkR2jispckOKwiM,5.0,298467.0,5.0,1.0,4.0,0.0195,0.621,0.979,0.0,-2.725,0.219,0.325,129.946,0.0,1092.0,43.0
31,Sexual Hallucination (feat. Brent Smith),6rw7Tl49mrgt4w7ZHzhzZ2,6.0,378080.0,0.0,1.0,4.0,0.0236,0.428,0.928,0.0,-3.846,0.11,0.196,146.051,0.0,1142.0,40.0
32,Sick Like Me,76AYOdnKWcSLviCsKDXyS1,7.0,299820.0,9.0,0.0,4.0,0.000165,0.448,0.982,2.32e-06,-3.971,0.287,0.0978,131.895,0.0,996.0,55.0
33,Bloody Creature Poster Girl,0eHIMJCzU1QV0R6OHeLOuR,8.0,260160.0,2.0,1.0,4.0,0.00844,0.551,0.915,0.0,-2.496,0.0846,0.416,67.978,0.0,827.0,46.0
34,The Fighter,54sEj5GIx2EW78nRDyC58R,9.0,292507.0,9.0,0.0,4.0,0.107,0.435,0.743,5.76e-06,-5.804,0.0792,0.28,141.877,0.0,928.0,51.0
35,Bones,5gbxjsBPzpjZuPvIptYvPi,10.0,270253.0,2.0,0.0,4.0,0.000824,0.481,0.964,0.0,-4.114,0.384,0.0808,144.055,0.0,843.0,40.0
36,Natural Born Sinner,5V2Tg65HSuF0hB22SlNRoa,11.0,309173.0,5.0,1.0,4.0,0.0106,0.554,0.886,0.0,-4.529,0.114,0.326,90.03,0.0,1102.0,42.0
37,Into the Darkness,7ETfZpueP7uNeC4sn9ykYS,12.0,172427.0,11.0,0.0,5.0,0.396,0.415,0.554,9.89e-05,-23.85,0.505,0.0298,133.391,0.0,479.0,32.0
38,Out of Hell,0PQCfIgEooQk14UImqVM5J,13.0,394693.0,9.0,0.0,4.0,0.712,0.34,0.125,0.000168,-15.851,0.0417,0.179,120.583,0.0,1070.0,35.0
39,Rise With Me,0EDxwBYWeidzeKr7aDz5l9,1.0,127627.0,11.0,0.0,4.0,0.347,0.401,0.622,0.787,-10.192,0.143,0.0936,130.059,0.0,472.0,25.0
40,Blood,0Cps36esAzovJOuT0ZZxIJ,2.0,207587.0,9.0,0.0,4.0,0.012,0.534,0.95,1.91e-06,-2.712,0.161,0.527,140.071,0.0,773.0,32.0
41,Adrenalize,4qaJrUoIhHZmg9CWut9uCO,3.0,255773.0,6.0,1.0,4.0,0.00023,0.465,0.96,0.0,-3.888,0.0792,0.43,132.014,0.0,769.0,32.0
42,Whore,16pkTQJlRKSE0jbtDH5dzv,4.0,245533.0,11.0,0.0,4.0,0.0254,0.604,0.883,0.0,-3.821,0.047,0.544,90.001,1.0,815.0,33.0
43,You're Gonna Listen,18IrllbVcvUA5bMUydNa95,5.0,223107.0,9.0,0.0,4.0,0.000444,0.383,0.989,0.00138,-2.602,0.158,0.121,146.102,0.0,666.0,28.0
44,It Is Written,3TIKjoFHf3RJLHkqXIumRw,6.0,30107.0,1.0,1.0,4.0,0.0251,0.241,0.764,0.556,-15.974,0.906,0.173,145.974,0.0,122.0,23.0
45,Burn,7IaAkRpILGEhfrNmYN1omQ,7.0,284333.0,4.0,1.0,4.0,0.00266,0.352,0.82,0.00406,-5.297,0.0584,0.0388,146.108,0.0,719.0,28.0
46,Scarlet,387wMs8zOKueRKX25GQWHQ,8.0,230067.0,6.0,1.0,4.0,0.252,0.557,0.825,0.0,-4.352,0.0454,0.302,107.942,0.0,707.0,28.0
47,Aries,16c2PPKDKVKGFwYlDLypPp,9.0,41400.0,1.0,0.0,3.0,0.491,0.259,0.958,0.5,-18.757,0.548,0.0275,81.348,0.0,131.0,23.0
48,From the Ashes,6w195FfSfWqxI9BUystNZs,10.0,266400.0,0.0,1.0,4.0,5.35e-05,0.474,0.975,1.84e-05,-3.167,0.16,0.335,130.082,0.0,974.0,26.0
49,Beast Within,1fkFAYAbkcrEpq5aBk60VW,11.0,229867.0,4.0,0.0,4.0,0.000776,0.518,0.937,0.0,-4.002,0.114,0.391,90.01,0.0,805.0,28.0
50,Comanche,1QaAefmA9YfhklvbN30D24,12.0,197853.0,0.0,1.0,4.0,0.000525,0.563,0.963,0.000222,-3.434,0.148,0.386,143.993,0.0,736.0,29.0
51,The Blood Legion,0pek83G7zpI9PlqDK5gZD2,13.0,269333.0,9.0,0.0,4.0,0.0911,0.44,0.718,5.36e-05,-7.119,0.057,0.112,150.051,0.0,901.0,26.0
52,11:11,3k4lCHjHWHTj4VBK5CnvIR,14.0,291347.0,0.0,0.0,3.0,0.873,0.238,0.455,0.000685,-8.83,0.0366,0.128,84.029,0.0,887.0,25.0
53,Closer,0fdUPvbCjrWd66VxUVNgvb,15.0,290413.0,4.0,0.0,4.0,0.000729,0.553,0.798,0.00125,-5.197,0.0482,0.305,90.0,0.0,1057.0,42.0
54,The Rabbit Hole,3xUe3e02vlLfoQgBFy5V1C,1.0,60493.0,10.0,1.0,4.0,0.86,0.261,0.425,0.0551,-11.599,0.0393,0.0823,85.09,0.0,181.0,26.0
55,Forever,4zFrS3QgzPgKJefjL1MkdH,2.0,261733.0,8.0,0.0,4.0,0.00124,0.314,0.989,2.64e-06,-1.608,0.186,0.258,182.035,0.0,809.0,42.0
56,All for You,2BDKBVHDe9MD6yNXXdnnqB,3.0,295293.0,4.0,0.0,4.0,0.00143,0.311,0.979,9.47e-06,-2.387,0.173,0.221,187.029,0.0,985.0,39.0
57,Lost At Sea,1eNThMHqjtDhoyGXytVBvh,4.0,226400.0,6.0,1.0,4.0,0.0101,0.387,0.992,0.000421,-1.733,0.348,0.127,165.974,0.0,734.0,41.0
